year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2022,UGA,Uganda,UG,Northern,UG3,Nebbi,UG3091,162079,148896,310975,28953,24571,21288,18307,13066,10518,9676,7356,6339,5135,3883,3177,2385,4039,1518,1171,697,29790,25860,22243,18097,11979,8214,6714,5256,4598,4071,3389,2663,1658,2221,873,766,504,58743,50431,43531,36404,25045,18732,16390,12612,10937,9206,7272,5840,4043,6260,2391,1937,1201
2022,UGA,Uganda,UG,Northern,UG3,Nwoya,UG3092,151847,147364,299211,30518,23877,19736,16087,12213,9883,9476,7032,5722,4137,3729,2912,2310,1524,1089,908,694,30326,25684,21045,17054,11877,9035,7416,6560,4664,3642,3141,2477,1628,1162,637,582,434,60844,49561,40781,33141,24090,18918,16892,13592,10386,7779,6870,5389,3938,2686,1726,1490,1128
2022,UGA,Uganda,UG,Northern,UG3,Obongi,UG3093,13924,14035,27959,2568,2266,1883,1549,1108,1033,875,743,543,425,279,242,153,109,75,51,22,2755,2535,1991,1791,1108,872,669,539,450,378,309,275,160,93,53,36,21,5323,4801,3874,3340,2216,1905,1544,1282,993,803,588,517,313,202,128,87,43
2022,UGA,Uganda,UG,Northern,UG3,Omoro,UG3094,112151,107458,219609,19679,17838,15181,12807,9086,7366,6864,5456,4422,3417,2625,2251,1757,1203,864,774,561,20659,18280,16402,14093,8682,6238,5100,4294,3360,2793,2167,1960,1272,871,515,430,342,40338,36118,31583,26900,17768,13604,11964,9750,7782,6210,4792,4211,3029,2074,1379,1204,903
2022,UGA,Uganda,UG,Northern,UG3,Otuke,UG3095,77390,74250,151640,14478,12322,9913,8743,6065,5490,4601,3390,2823,2329,1908,1549,1308,866,681,558,366,14871,12596,10726,9274,5487,4327,3741,2943,2330,1996,1678,1450,1026,746,457,366,236,29349,24918,20639,18017,11552,9817,8342,6333,5153,4325,3586,2999,2334,1612,1138,924,602
2022,UGA,Uganda,UG,Northern,UG3,Oyam,UG3096,257611,244097,501708,46813,40612,34619,30499,21322,17827,15213,12119,9593,7595,5657,4545,3836,2695,1854,1558,1254,47697,41713,35737,30491,20125,15257,12069,9767,7512,6178,4818,4133,3105,2114,1262,1180,939,94510,82325,70356,60990,41447,33084,27282,21886,17105,13773,10475,8678,6941,4809,3116,2738,2193
2022,UGA,Uganda,UG,Northern,UG3,Pader,UG3097,109738,103524,213262,19521,17936,14846,12141,8610,7628,7259,5213,4061,3338,2429,1968,1465,1079,819,682,743,20234,18468,15499,13530,7810,5818,5200,4252,3169,2522,2205,1683,1062,730,454,385,503,39755,36404,30345,25671,16420,13446,12459,9465,7230,5860,4634,3651,2527,1809,1273,1067,1246
2022,UGA,Uganda,UG,Northern,UG3,Pakwach,UG3098,115672,107468,223140,21741,17607,14018,12804,9627,8165,7291,5381,4474,3642,2683,2136,1721,2405,905,637,435,22024,18222,14758,13014,9096,6456,5427,4210,3399,2713,2419,1754,1177,1523,577,398,301,43765,35829,28776,25818,18723,14621,12718,9591,7873,6355,5102,3890,2898,3928,1482,1035,736
2022,UGA,Uganda,UG,Northern,UG3,Yumbe,UG3099,405116,365318,770434,70333,85097,69597,44360,27700,26333,21347,18332,10592,8750,4630,5663,3245,5596,1610,1273,658,67289,77788,63484,44665,24648,18624,15369,13464,9381,8491,6278,4794,3141,4303,1705,1166,728,137622,162885,133081,89025,52348,44957,36716,31796,19973,17241,10908,10457,6386,9899,3315,2439,1386
2022,UGA,Uganda,UG,Northern,UG3,Zombo,UG3100,162586,150065,312651,30370,26126,21192,16162,11579,10230,10002,7239,6512,5197,3723,2933,1921,5537,1873,1328,662,31045,27598,22993,16306,10039,7857,6938,5581,4819,4169,3434,2632,1438,2832,1084,791,509,61415,53724,44185,32468,21618,18087,16940,12820,11331,9366,7157,5565,3359,8369,2957,2119,1171
