District,Calcium_(mg),Folate_(mcg),Iron_(mg),Kilocalories_(kcal),Niacin_(mg),Proteins_(g),Riboflavin_(mg),Thiamin_(mg),Vitamin_A_(mcg),Vitamin_B12_(mcg),Vitamin_B6_(mg),Vitamin_C_(mg),Zinc_(mg)
BUSIA,60.78,96.34,50.46,82.93,87.16,91.3,83.36,68.2,87.41,78.09,95.46,99.51,59.17
BUTALEJA,55.75,97.55,59.75,75.44,85.98,81.74,71.45,87.6,92.97,66.78,98.54,100.0,65.83
BUTAMBALA,60.22,97.26,64.0,89.24,90.68,86.93,82.38,96.82,89.04,49.45,100.0,100.0,71.36
BUTEBO,41.25,100.0,47.59,99.76,97.58,70.76,66.86,100.0,96.68,92.72,100.0,100.0,45.31
BUVUMA,44.54,75.45,39.73,51.51,56.2,60.76,45.91,60.56,68.21,79.54,71.14,100.0,46.59
BUYENDE,58.33,94.55,57.4,85.63,90.16,79.37,81.48,89.65,95.02,84.37,99.95,100.0,70.35
DOKOLO,71.77,99.43,61.47,72.53,72.31,67.85,74.4,84.72,85.64,42.3,97.62,100.0,60.1
GULU,61.82,91.35,66.78,73.7,76.39,78.88,70.14,84.72,88.39,57.55,81.27,96.54,69.34
HOIMA,67.06,100.0,74.99,92.63,92.75,92.51,91.04,98.98,96.18,67.5,99.49,100.0,83.05
IBANDA,79.73,99.66,82.47,87.13,87.59,96.22,88.7,95.99,87.16,58.27,99.76,100.0,83.93
IGANGA,69.86,96.25,76.33,93.7,94.77,86.12,91.92,94.92,93.2,48.44,97.35,100.0,94.25
ISINGIRO,61.98,100.0,73.45,84.24,87.02,96.58,87.61,94.51,83.85,77.15,99.97,100.0,71.24
JINJA,68.39,99.1,69.4,90.39,88.54,87.43,83.76,94.05,91.54,56.52,99.1,99.18,78.24
KAABONG,68.96,93.38,87.04,63.3,74.07,86.14,77.75,88.92,77.67,33.87,81.65,91.55,78.54
KABALE,82.37,100.0,92.56,93.26,96.33,97.19,94.64,99.08,91.14,20.93,100.0,100.0,85.57
KABAROLE,79.6,98.16,79.55,94.57,95.86,96.48,96.16,97.05,97.32,85.03,98.53,98.11,85.4
KAGADI,42.54,100.0,57.81,83.54,91.14,94.58,89.89,93.14,90.82,86.14,99.53,100.0,63.93
KAKUMIRO,66.17,97.44,77.55,91.13,91.9,98.01,93.6,96.02,93.67,76.74,100.0,100.0,83.11
KALANGALA,67.63,100.0,71.17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,72.51
KALIRO,58.64,93.86,66.37,90.33,99.62,91.48,84.76,100.0,87.3,87.1,100.0,100.0,82.3
KALUNGU,62.11,99.0,67.7,89.32,85.27,85.5,83.06,94.07,85.36,62.58,100.0,99.58,75.3
KAMPALA,67.19,98.12,71.56,85.01,87.55,91.44,85.99,94.07,91.78,79.63,97.39,95.73,78.98
KAMULI,57.1,89.44,57.68,81.74,79.67,70.63,77.51,85.43,81.82,35.47,88.92,92.35,54.88
KAMWENGE,64.83,93.4,70.06,77.63,80.54,81.64,82.54,81.66,99.13,72.74,100.0,100.0,75.46
KANUNGU,75.57,100.0,78.87,82.58,86.9,96.08,86.34,99.47,87.3,49.9,100.0,100.0,77.94
KAPCHORWA,88.71,100.0,77.01,100.0,100.0,100.0,100.0,100.0,90.65,100.0,100.0,100.0,71.87
KAPELEBYONG,60.51,96.53,63.52,76.03,85.6,84.58,73.75,82.71,79.96,52.13,96.94,99.78,67.75
KASESE,57.55,98.28,69.41,84.19,89.56,96.18,84.62,90.35,87.41,92.2,96.41,100.0,79.25
KASSANDA,49.74,100.0,60.08,81.57,82.13,81.86,77.68,87.38,78.34,59.38,100.0,100.0,67.63
KATAKWI,68.0,94.16,63.33,52.37,66.69,78.63,67.87,70.24,80.29,48.16,77.37,96.68,68.25
